Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,55 A,Southampton,GB SOU,5/6/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,4 A,Southampton,GB SOU,18/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,65 A,Southampton,GB SOU,19/6/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,12 A,Southampton,GB SOU,16/6/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,67 A,Southampton,GB SOU,27/6/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,39 A,Southampton,GB SOU,30/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,53 A,Southampton,GB SOU,6/7/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,5 A,Southampton,GB SOU,15/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,53 A,Bremerhaven,DE BRV,21/4/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Bremerhaven,DE BRV,25/4/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,63 A,Bremerhaven,DE BRV,28/4/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,51 A,Bremerhaven,DE BRV,7/5/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,44 A,Bremerhaven,DE BRV,11/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11A,Bremerhaven,DE BRV,13/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,37 A,Bremerhaven,DE BRV,18/5/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,66 A,Bremerhaven,DE BRV,28/5/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,52 A,Bremerhaven,DE BRV,8/6/2021,
