Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK8922,Hamburg,DE HAM,2022/06/26,
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK8922,Antwerpen,BE ANR,2022/06/29,
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK8922,Gothenburg,SE GOT,2022/07/04,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE9022,Baltimore,US BAL,2022/06/18,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE9022,Halifax,CA HAL,2022/06/22,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE9022,Liverpool,GB LIV,2022/06/29,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE9022,Hamburg,DE HAM,2022/07/03,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE9022,Antwerpen,BE ANR,2022/07/06,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE9022,Gothenburg,SE GOT,2022/07/11,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8622,Baltimore,US BAL,2022/06/28,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8622,Norfolk,US HNV,2022/06/29,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8622,Halifax,CA HAL,2022/07/01,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8622,Liverpool,GB LIV,2022/07/08,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8622,Hamburg,DE HAM,2022/07/12,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8622,Antwerpen,BE ANR,2022/07/14,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8622,Gothenburg,SE GOT,2022/07/18,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9322,Baltimore,US BAL,2022/07/05,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9322,Norfolk,US HNV,2022/07/06,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9322,Halifax,CA HAL,2022/07/08,
